%	per cento
f	fahrenheit
c	celsius
°C	grado celsius
°F	grado fahrenheit
K	kelvin
km	chilometro
m	metro
cm	centimetro
mm	millimetro
μm	micrometro
nm	nanometro
dm	decimetro
pm	picometro
hm	ettometro
ha	ettaro
mi	miglia
m²	metro quadrato	-0.0001
km²	chilometro quadrato	-0.0001
mm²	millimetro quadrato	-0.0001
cm²	centimetro quadrato	-0.0001
m³	metro cubo	-0.0001
km³	chilometro cubo	-0.0001
mm³	millimetro cubo	-0.0001
cm³	centimetro cubo	-0.0001
m2	metro quadrato
km2	chilometro quadrato
mm2	millimetro quadrato
cm2	centimetro quadrato
m3	metro cubo
km3	chilometro cubo
mm3	millimetro cubo
cm3	centimetro cubo
ft	piede
g	grammo
µg	microgrammo
mg	milligrammo
kg	chilogrammo
lb	libbra
h	ora
s	secondo
min	minuto
ms	milli secondo
μs	micro secondo
hz	hertz
kw	chilowatt
ghz	giga hertz
khz	chilo hertz
mhz	mega hertz
mc	megacoulomb
mA	milliampere
A	ampere
tw	tera watt
mv	milli volt
mw	mega watt
gw	giga watt
ω	ohm
db	deci bel
gb	giga byte
kb	chilo bit
pb	peta bit
mb	mega byte
kb	chilo byte
tb	tera byte
kv	chilo volt
mv	mega volt
ml	millilitro
l	litro
cl  centilitro
bar	bar
kcal	chilo calorie
cal	calorie
v   volt
V   volt
N   newton
Pa  pascal
W   watt
J   joule
rad radianti
